Date Time,wind_all_real_time,wind_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
09/01/2015 08,1669.5,1834.7099999999996,,1649.7675,
09/01/2015 09,1649.515,1834.7099999999996,,1675.885,
09/01/2015 10,1629.3125,1834.7099999999996,,1679.2974999999997,
09/01/2015 11,1610.565,1834.7099999999996,,1654.22,
09/01/2015 12,1620.2350000000001,1834.7099999999996,,1627.5725,
09/01/2015 13,1606.4125,1834.7099999999996,,1605.7875,
09/01/2015 14,1597.2975000000001,1834.7099999999996,,1587.7399999999998,
09/01/2015 15,1605.7174999999997,1834.7099999999996,,1574.155,
09/01/2015 16,1617.2700000000002,1834.7099999999996,,1553.875,
09/01/2015 17,1399.2575,1834.7099999999996,,1515.3200000000002,
09/01/2015 18,1291.275,1834.7099999999996,,1517.9550000000002,
09/01/2015 19,1314.4575,1834.7099999999996,,1597.125,
09/01/2015 20,1311.42,1834.7099999999996,,1644.6875,
09/01/2015 21,1282.7525,1834.7099999999996,,1692.3374999999999,
09/01/2015 22,1294.3075,1834.7099999999996,,1722.16,
09/01/2015 23,1538.6299999999999,1834.7099999999996,,1722.3149999999998,
10/01/2015 00,1612.6725000000001,1834.7099999999996,,1714.5275,
10/01/2015 01,1626.2725,1834.7099999999996,,1722.5575,
10/01/2015 02,1608.26,1834.7099999999996,,1718.4,
10/01/2015 03,1479.6725000000001,1834.7099999999996,,1713.7225,
10/01/2015 04,1417.6425,1834.7099999999996,,1703.7875000000001,
10/01/2015 05,1398.9,1834.7099999999996,,1686.0325000000003,
10/01/2015 06,1353.15,1834.7099999999996,,1647.225,
10/01/2015 07,1307.5925,1834.7099999999996,,1591.1825000000001,
10/01/2015 08,1249.2824999999998,1834.7099999999996,,1578.19,
10/01/2015 09,1232.54,1834.7099999999996,,1588.82,
10/01/2015 10,1234.455,1834.7099999999996,,1595.0625,
10/01/2015 11,1210.565,1834.7099999999996,,1600.395,
10/01/2015 12,1246.7325,1834.7099999999996,,1638.1574999999998,
10/01/2015 13,1401.55,1834.7099999999996,,1688.59,
10/01/2015 14,1567.3725,1834.7099999999996,,1694.8975,
10/01/2015 15,1581.08,1834.7099999999996,,1674.7749999999999,
10/01/2015 16,1526.6625,1834.7099999999996,,1611.0775,
10/01/2015 17,1383.6625,1834.7099999999996,,1474.51,
10/01/2015 18,1274.27,1834.7099999999996,,1335.6375,
10/01/2015 19,1186.9025000000001,1834.7099999999996,,1221.295,
10/01/2015 20,1118.8325,1834.7099999999996,,1155.52,
10/01/2015 21,1059.8025,1834.7099999999996,,1092.9475,
10/01/2015 22,994.0725,1834.7099999999996,,1063.23,
10/01/2015 23,1012.4575,1834.7099999999996,,1077.96,
11/01/2015 00,1035.4775,1834.7099999999996,,1252.0924999999997,
11/01/2015 01,1157.4025000000001,1834.7099999999996,,1275.565,
11/01/2015 02,1164.2375,1834.7099999999996,,1311.1525000000001,
11/01/2015 03,1235.99,1834.7099999999996,,1347.2600000000002,
11/01/2015 04,1288.385,1834.7099999999996,,1389.855,
11/01/2015 05,1371.13,1834.7099999999996,,1444.9025,
11/01/2015 06,1386.7025,1834.7099999999996,,1501.5225,
11/01/2015 07,1429.7925,1834.7099999999996,,1536.48,
11/01/2015 08,1464.3999999999999,1834.7099999999996,,1536.825,
11/01/2015 09,1461.755,1834.7099999999996,,1551.2975000000001,
11/01/2015 10,1441.85,1834.7099999999996,,1585.2250000000001,
11/01/2015 11,1466.7275,1834.7099999999996,,1592.6925,
11/01/2015 12,1488.49,1834.7099999999996,,1598.9025000000001,
11/01/2015 13,1512.0175,1834.7099999999996,,1585.7099999999998,
11/01/2015 14,1495.5125000000003,1834.7099999999996,,1540.4075,
11/01/2015 15,1429.1699999999998,1834.7099999999996,,1492.3925000000002,
11/01/2015 16,1352.1775,1834.7099999999996,,1461.7925,
11/01/2015 17,1355.9275,1834.7099999999996,,1462.2,
11/01/2015 18,1438.715,1834.7099999999996,,1470.1750000000002,
11/01/2015 19,1485.4825,1834.7099999999996,,1490.2825,
