Date Time,solar_all_real_time,solar_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
16/01/2015 10,220.42000000000002,2915.88,300.63750000000005,267.625,
16/01/2015 11,450.25,2915.88,437.61500000000007,431.9225,
16/01/2015 12,648.53,2915.88,485.375,581.8075,
16/01/2015 13,896.1075000000001,2915.88,457.3375,614.75,
16/01/2015 14,744.2225,2915.88,385.83750000000003,526.285,
16/01/2015 15,353.09749999999997,2915.88,247.91500000000002,323.41249999999997,
16/01/2015 16,72.7725,2915.88,81.85999999999999,107.905,
16/01/2015 17,0.395,2915.88,0.8425,0.8625,
16/01/2015 18,0.0,2915.88,0.0,0.0,
16/01/2015 19,0.0,2915.88,0.0,0.0,
16/01/2015 20,0.0,2915.88,0.0,0.0,
16/01/2015 21,0.0,2915.88,0.0,0.0,
16/01/2015 22,0.0,2915.88,0.0,0.0,
16/01/2015 23,0.0,2915.88,0.0,0.0,
17/01/2015 00,0.0,2915.88,0.0,0.0,
17/01/2015 01,0.0,2915.88,0.0,0.0,
17/01/2015 02,0.0,2915.88,0.0,0.0,
17/01/2015 03,0.0,2915.88,0.0,0.0,
17/01/2015 04,0.0,2915.88,0.0,0.0,
17/01/2015 05,0.0,2915.88,0.0,0.0,
17/01/2015 06,0.0,2915.88,0.0,0.0,
17/01/2015 07,0.0,2915.88,0.0,0.0,
17/01/2015 08,0.3875,2915.88,4.715,3.31,
17/01/2015 09,109.045,2915.88,178.2975,139.89249999999998,
17/01/2015 10,425.88,2915.88,565.4975000000001,466.395,
17/01/2015 11,790.3375,2915.88,875.54,732.1575,
17/01/2015 12,1023.8575,2915.88,1057.945,862.905,
17/01/2015 13,1041.9675,2915.88,1039.0575,867.335,
17/01/2015 14,854.7875,2915.88,853.0725,763.7275,
17/01/2015 15,515.6,2915.88,522.665,503.5324999999999,
17/01/2015 16,132.5925,2915.88,182.665,180.5525,
17/01/2015 17,0.8775,2915.88,2.1425,2.62,
17/01/2015 18,0.0,2915.88,0.0,0.0,
17/01/2015 19,0.0,2915.88,0.0,0.0,
17/01/2015 20,0.0,2915.88,0.0,0.0,
17/01/2015 21,0.0,2915.88,0.0,0.0,
17/01/2015 22,0.0,2915.88,0.0,0.0,
17/01/2015 23,0.0,2915.88,0.0,0.0,
18/01/2015 00,0.0,2915.88,0.0,0.0,
18/01/2015 01,0.0,2915.88,0.0,0.0,
18/01/2015 02,0.0,2915.88,0.0,0.0,
18/01/2015 03,0.0,2915.88,0.0,0.0,
18/01/2015 04,0.0,2915.88,0.0,0.0,
18/01/2015 05,0.0,2915.88,0.0,0.0,
18/01/2015 06,0.0,2915.88,0.0,0.0,
18/01/2015 07,0.0,2915.88,0.0,0.0,
18/01/2015 08,0.0875,2915.88,2.6,2.315,
18/01/2015 09,27.192500000000003,2915.88,58.55,56.21,
18/01/2015 10,133.9425,2915.88,145.73749999999998,150.5425,
18/01/2015 11,353.24749999999995,2915.88,204.78,233.40500000000003,
18/01/2015 12,575.5999999999999,2915.88,273.56,282.5925,
18/01/2015 13,577.2625,2915.88,314.9875,292.42,
18/01/2015 14,417.615,2915.88,284.145,257.64,
18/01/2015 15,201.3875,2915.88,188.4925,171.635,
18/01/2015 16,64.52250000000001,2915.88,69.81750000000001,65.0,
18/01/2015 17,0.925,2915.88,1.1425,0.9975,
18/01/2015 18,0.0,2915.88,0.0,0.0,
18/01/2015 19,0.0,2915.88,0.0,0.0,
18/01/2015 20,0.0,2915.88,0.0,0.0,
18/01/2015 21,0.0,2915.88,0.0,0.0,
18/01/2015 22,0.0,2915.88,0.0,0.0,
18/01/2015 23,0.0,2915.88,0.0,0.0,
19/01/2015 00,0.0,2915.88,0.0,0.0,
19/01/2015 01,0.0,2915.88,0.0,0.0,
19/01/2015 02,0.0,2915.88,0.0,0.0,
19/01/2015 03,0.0,2915.88,0.0,0.0,
19/01/2015 04,0.0,2915.88,0.0,0.0,
19/01/2015 05,0.0,2915.88,0.0,0.0,
19/01/2015 06,0.0,2915.88,0.0,0.0,
19/01/2015 07,0.0,2915.88,0.0,0.0,
19/01/2015 08,1.43,2915.88,2.7325,2.2375000000000003,
19/01/2015 09,41.3025,2915.88,70.09,60.91499999999999,
19/01/2015 10,106.3,2915.88,205.495,185.0575,
19/01/2015 11,207.89249999999998,2915.88,341.7125,306.1825,
19/01/2015 12,280.59250000000003,2915.88,450.245,400.03749999999997,
19/01/2015 13,292.7975,2915.88,468.71500000000003,426.15749999999997,
19/01/2015 14,281.09999999999997,2915.88,395.75250000000005,388.5525,
19/01/2015 15,179.125,2915.88,238.28,257.6375,
19/01/2015 16,63.567499999999995,2915.88,102.9775,104.715,
19/01/2015 17,1.8725,2915.88,3.3125,3.56,
19/01/2015 18,0.0,2915.88,0.0,0.0,
19/01/2015 19,0.0,2915.88,0.0,0.0,
19/01/2015 20,0.0,2915.88,0.0,0.0,
19/01/2015 21,0.0,2915.88,0.0,0.0,
19/01/2015 22,0.0,2915.88,0.0,0.0,
19/01/2015 23,0.0,2915.88,0.0,0.0,
20/01/2015 00,0.0,2915.88,0.0,0.0,
20/01/2015 01,0.0,2915.88,0.0,0.0,
20/01/2015 02,0.0,2915.88,0.0,0.0,
20/01/2015 03,0.0,2915.88,0.0,0.0,
20/01/2015 04,0.0,2915.88,0.0,0.0,
20/01/2015 05,0.0,2915.88,0.0,0.0,
20/01/2015 06,0.0,2915.88,0.0,0.0,
20/01/2015 07,0.0,2915.88,0.0,0.0,
20/01/2015 08,0.1325,2915.88,4.71,4.2425,
20/01/2015 09,36.5625,2915.88,101.04749999999999,102.6375,
20/01/2015 10,192.935,2915.88,315.53999999999996,334.9975,
20/01/2015 11,467.16499999999996,2915.88,517.1324999999999,570.38,
20/01/2015 12,651.6075000000001,2915.88,653.875,761.4,
20/01/2015 13,645.315,2915.88,670.365,813.8974999999999,
20/01/2015 14,539.3675000000001,2915.88,571.5799999999999,724.51,
20/01/2015 15,339.41249999999997,2915.88,354.36750000000006,456.43,
20/01/2015 16,106.72749999999999,2915.88,146.0375,179.255,
20/01/2015 17,3.4825,2915.88,5.215,6.2625,
20/01/2015 18,0.0,2915.88,0.0,0.0,
20/01/2015 19,0.0,2915.88,0.0,0.0,
20/01/2015 20,0.0,2915.88,0.0,0.0,
20/01/2015 21,0.0,2915.88,0.0,0.0,
20/01/2015 22,0.0,2915.88,0.0,0.0,
20/01/2015 23,0.0,2915.88,0.0,0.0,
21/01/2015 00,0.0,2915.88,0.0,0.0,
