Date Time,load_all_real_time,elia_day_ahead
12/01/2015 23,11132.255,10924.105
13/01/2015 00,10482.637499999999,10202.8575
13/01/2015 01,9877.465,9674.5125
13/01/2015 02,9536.9275,9238.19
13/01/2015 03,9217.359999999999,9165.0275
13/01/2015 04,9246.2625,9030.182499999999
13/01/2015 05,9819.1875,9494.2025
13/01/2015 06,10972.12,10919.9325
13/01/2015 07,11943.58,11954.8575
13/01/2015 08,12236.18,12299.664999999999
13/01/2015 09,12320.39,12092.055
13/01/2015 10,12491.05,12187.175
13/01/2015 11,12825.44,12454.5975
13/01/2015 12,12690.865000000002,12452.81
13/01/2015 13,12722.550000000001,12482.45
13/01/2015 14,12545.119999999999,12343.5125
13/01/2015 15,12356.705,12352.925
13/01/2015 16,12308.7125,12269.08
13/01/2015 17,12821.3975,12844.8425
13/01/2015 18,13035.6225,12596.8525
13/01/2015 19,12445.695,12353.385
13/01/2015 20,11790.21,11584.8075
13/01/2015 21,11192.0675,10996.675000000001
13/01/2015 22,11346.95,11169.16
13/01/2015 23,11299.025000000001,11116.83
14/01/2015 00,10564.42,10376.2725
14/01/2015 01,10058.06,10129.0275
14/01/2015 02,9628.285,9732.2225
14/01/2015 03,9503.887499999999,9343.915
14/01/2015 04,9487.765,9406.384999999998
14/01/2015 05,10021.42,9810.880000000001
14/01/2015 06,11107.2325,10930.79
14/01/2015 07,12047.732500000002,11965.035
14/01/2015 08,12663.0425,12335.545
14/01/2015 09,12857.0025,12708.0525
14/01/2015 10,12846.695,12794.685
14/01/2015 11,13039.335,12794.940000000002
14/01/2015 12,12677.77,12621.380000000001
14/01/2015 13,12616.68,12521.825
14/01/2015 14,12496.39,12314.195
14/01/2015 15,12427.177500000002,12415.3125
14/01/2015 16,12348.567500000001,12382.302499999998
14/01/2015 17,12940.692500000001,12673.419999999998
14/01/2015 18,13230.560000000001,12701.8975
14/01/2015 19,12746.752499999999,12436.64
14/01/2015 20,12082.035,11867.335
14/01/2015 21,11466.380000000001,11276.307499999999
14/01/2015 22,11594.205,11407.740000000002
14/01/2015 23,11496.185,11185.442500000001
15/01/2015 00,10742.477499999999,10546.6325
15/01/2015 01,10145.125,10017.145
15/01/2015 02,9723.115,9583.635
15/01/2015 03,9557.31,9397.7775
15/01/2015 04,9519.9275,9414.9275
15/01/2015 05,10017.445,9772.744999999999
15/01/2015 06,11024.04,10847.5375
15/01/2015 07,12056.107499999998,11618.577500000001
15/01/2015 08,12538.037499999999,12296.79
15/01/2015 09,12569.6525,12460.942500000001
15/01/2015 10,12652.77,12349.5925
15/01/2015 11,12861.065,12599.8475
15/01/2015 12,12601.672499999999,12391.145
15/01/2015 13,12672.342499999999,12354.337500000001
15/01/2015 14,12560.2775,12394.73
15/01/2015 15,12486.970000000001,12289.352499999999
15/01/2015 16,12426.322500000002,12251.41
15/01/2015 17,13035.237500000001,12691.395
15/01/2015 18,13143.67,12713.1775
15/01/2015 19,12597.17,12330.59
15/01/2015 20,12007.807499999999,11716.445000000002
15/01/2015 21,11379.64,11205.664999999999
15/01/2015 22,11572.7175,11245.2925
15/01/2015 23,11486.095000000001,11261.932499999999
16/01/2015 00,10761.675000000001,10599.6625
16/01/2015 01,10337.6,9952.135
16/01/2015 02,9938.205000000002,9545.9725
16/01/2015 03,9739.58,9548.295
16/01/2015 04,9738.682499999999,9500.3625
16/01/2015 05,10165.8725,10001.565
16/01/2015 06,11338.8,10976.79
16/01/2015 07,12272.592499999999,11996.9375
16/01/2015 08,12557.810000000001,12472.8525
16/01/2015 09,12590.93,12383.265
16/01/2015 10,12558.224999999999,12457.462500000001
16/01/2015 11,12581.739999999998,12459.215
16/01/2015 12,12287.6175,12225.252499999999
16/01/2015 13,12195.08,12074.5975
16/01/2015 14,11992.8325,11809.44
16/01/2015 15,11877.904999999999,11647.5225
16/01/2015 16,11943.255000000001,11822.48
16/01/2015 17,12600.1875,12309.955000000002
16/01/2015 18,12690.11,12319.2025
16/01/2015 19,12187.825,11860.4
16/01/2015 20,11662.8425,11403.767499999998
16/01/2015 21,11124.0075,10950.605000000001
16/01/2015 22,11455.68,11198.455
16/01/2015 23,11495.6225,11165.7025
17/01/2015 00,10812.099999999999,10599.6175
17/01/2015 01,10249.16,10087.1725
17/01/2015 02,9839.57,9607.95
17/01/2015 03,9629.369999999999,9276.865
17/01/2015 04,9514.6625,9076.917500000001
17/01/2015 05,9465.255000000001,9210.267499999998
17/01/2015 06,9730.467499999999,9400.61
17/01/2015 07,10037.539999999999,9764.032500000001
17/01/2015 08,10601.825,10226.42
17/01/2015 09,11054.47,10729.427500000002
17/01/2015 10,11205.5775,10994.587500000001
17/01/2015 11,11299.3,11083.41
17/01/2015 12,11365.295000000002,11006.95
17/01/2015 13,11143.455,9570.3425
17/01/2015 14,10843.655,10789.395
17/01/2015 15,10703.477499999999,10796.335000000001
17/01/2015 16,10714.1775,10636.2075
17/01/2015 17,11432.855,11024.915
17/01/2015 18,11867.432499999999,11487.73
17/01/2015 19,11557.154999999999,11328.757500000002
17/01/2015 20,11115.855,11038.3525
17/01/2015 21,10618.795,10604.997499999998
17/01/2015 22,10837.07,10470.994999999999
17/01/2015 23,10947.7275,10666.232500000002
18/01/2015 00,10326.22,10162.6225
18/01/2015 01,9841.175,9607.1725
18/01/2015 02,9534.2125,9231.572500000002
18/01/2015 03,9183.1825,9044.17
18/01/2015 04,9072.025,8934.61
18/01/2015 05,9065.395,8781.369999999999
18/01/2015 06,9198.532500000001,8974.36
18/01/2015 07,9234.9225,8981.4625
18/01/2015 08,9657.235,9372.475
18/01/2015 09,10277.6525,9940.0275
18/01/2015 10,10703.9575,10364.515
18/01/2015 11,11056.745000000003,10781.12
18/01/2015 12,11204.5625,11010.65
18/01/2015 13,10882.6375,10625.495
18/01/2015 14,10573.375,10308.095000000001
18/01/2015 15,10461.477499999999,10220.0175
18/01/2015 16,10442.0175,10264.157500000001
18/01/2015 17,11139.595000000001,10975.7225
18/01/2015 18,11663.2375,11243.975
18/01/2015 19,11519.2975,11301.259999999998
18/01/2015 20,11221.23,10832.915
18/01/2015 21,10765.835,10466.8325
18/01/2015 22,10855.79,10635.9875
18/01/2015 23,10911.1625,10568.38
19/01/2015 00,10358.8025,10103.1325
19/01/2015 01,9948.225,9515.0175
19/01/2015 02,9718.525,9192.965
19/01/2015 03,9413.215,9254.34
19/01/2015 04,9498.127499999999,9154.462500000001
19/01/2015 05,9988.6975,9743.0075
19/01/2015 06,11222.859999999999,10905.177500000002
19/01/2015 07,12250.51,11813.074999999999
19/01/2015 08,12810.3325,12259.1375
19/01/2015 09,12955.4125,12636.967499999999
19/01/2015 10,12975.885,12694.935
19/01/2015 11,13024.3525,12763.55
19/01/2015 12,12811.2525,12516.7325
19/01/2015 13,12921.960000000001,12462.7575
19/01/2015 14,12811.4575,12476.6075
19/01/2015 15,12735.8875,12392.6825
19/01/2015 16,12666.2975,12432.987500000001
19/01/2015 17,13281.4575,12957.642500000002
19/01/2015 18,13513.2225,13195.1375
19/01/2015 19,12958.065,12755.71
19/01/2015 20,12321.787499999999,12083.8175
19/01/2015 21,11614.0525,11343.34
19/01/2015 22,11848.410000000002,11410.5475
19/01/2015 23,11859.6025,11394.877499999999
20/01/2015 00,11211.955,10855.59
20/01/2015 01,10658.5725,10230.994999999999
20/01/2015 02,10368.4175,9918.544999999998
20/01/2015 03,10112.7575,9776.33
20/01/2015 04,10169.115,9807.585000000001
20/01/2015 05,10566.675,10317.9025
20/01/2015 06,11721.9625,11393.2075
20/01/2015 07,12677.9075,12206.872500000001
20/01/2015 08,12971.087500000001,12756.675
20/01/2015 09,13026.0525,12722.375
20/01/2015 10,13022.715,12822.34
20/01/2015 11,13042.9575,12948.29
20/01/2015 12,12798.3525,12676.122500000001
20/01/2015 13,12705.04,12644.775
20/01/2015 14,12640.5625,12383.1975
20/01/2015 15,12581.7625,12330.439999999999
20/01/2015 16,12555.144999999999,12350.6525
20/01/2015 17,13186.15,12972.84
20/01/2015 18,13530.575,13123.0775
20/01/2015 19,13078.135,12643.6675
20/01/2015 20,12443.73,12082.255000000001
20/01/2015 21,11833.54,11484.6925
20/01/2015 22,12078.44,11783.7025
20/01/2015 23,11998.265,11791.7525
21/01/2015 00,11462.5575,11031.1475
21/01/2015 01,11047.830000000002,10609.4575
21/01/2015 02,10584.0175,10227.039999999999
21/01/2015 03,10280.57,10041.2225
21/01/2015 04,10227.657500000001,9990.9325
21/01/2015 05,10614.4825,10324.2425
21/01/2015 06,11683.3175,11351.68
21/01/2015 07,12626.185000000001,12308.42
21/01/2015 08,12936.279999999999,12847.76
21/01/2015 09,13044.802500000002,12864.2825
21/01/2015 10,12959.032500000001,12795.432499999999
21/01/2015 11,13035.23,12856.107499999998
21/01/2015 12,12829.36,12576.105
21/01/2015 13,12841.2825,12614.4125
21/01/2015 14,12678.762499999999,12557.525
21/01/2015 15,12632.624999999998,12509.8675
21/01/2015 16,12583.522500000001,12551.655
21/01/2015 17,13184.8325,12992.9575
21/01/2015 18,13491.4325,13152.1275
21/01/2015 19,13051.28,12855.7725
21/01/2015 20,12387.875,12238.9975
21/01/2015 21,11761.2125,11608.2275
21/01/2015 22,11866.0375,11787.349999999999
21/01/2015 23,11837.419999999998,11607.8125
22/01/2015 00,11353.98,10947.662499999999
22/01/2015 01,10932.5625,10543.3275
22/01/2015 02,10446.535,10164.11
22/01/2015 03,10200.3125,10069.6725
22/01/2015 04,10149.6925,9994.9925
22/01/2015 05,10475.455,10339.705
22/01/2015 06,11671.6175,11317.3575
22/01/2015 07,12685.32,12403.505000000001
22/01/2015 08,12996.527500000002,12794.805
22/01/2015 09,13066.43,12886.135
22/01/2015 10,13119.205,13025.847499999998
22/01/2015 11,13258.327500000001,13133.1325
22/01/2015 12,13126.1975,12951.4925
22/01/2015 13,13151.4725,13016.595
22/01/2015 14,13096.310000000001,12878.654999999999
22/01/2015 15,13061.117499999998,12829.325
22/01/2015 16,12945.1975,12909.8275
22/01/2015 17,13490.695,13329.925
22/01/2015 18,13670.1575,13386.98
22/01/2015 19,13204.2825,13060.380000000001
22/01/2015 20,12552.455,12492.505
22/01/2015 21,11942.325,11814.48
22/01/2015 22,12145.3975,11881.355
22/01/2015 23,12181.48,11884.2225
23/01/2015 00,11537.4225,11384.5475
23/01/2015 01,11011.417500000001,10841.0825
23/01/2015 02,10659.205,10390.134999999998
23/01/2015 03,10384.9175,10170.0075
23/01/2015 04,10346.095,10014.037499999999
23/01/2015 05,10686.432499999999,10392.2475
23/01/2015 06,11798.49,11509.4525
23/01/2015 07,12726.865000000002,12504.215
23/01/2015 08,13071.8325,12892.035
23/01/2015 09,13145.647500000001,12983.1825
23/01/2015 10,13144.34,13031.1025
23/01/2015 11,13233.9675,13124.3575
23/01/2015 12,12946.6525,12938.9175
23/01/2015 13,12902.74,12746.555
23/01/2015 14,12757.36,12556.412499999999
23/01/2015 15,12589.1475,12362.58
23/01/2015 16,12525.85,12381.237500000001
23/01/2015 17,13056.550000000001,12908.397500000001
23/01/2015 18,13234.3825,12921.0375
23/01/2015 19,12742.8375,12577.244999999999
23/01/2015 20,12215.1175,12024.372500000001
23/01/2015 21,11649.472500000002,11545.0525
23/01/2015 22,12006.517499999998,11821.1075
23/01/2015 23,12073.637499999999,11892.9325
24/01/2015 00,11433.6925,11250.9425
24/01/2015 01,10866.302500000002,10626.494999999999
24/01/2015 02,10439.3925,10188.8725
24/01/2015 03,10118.0475,9875.36
24/01/2015 04,9916.2375,9719.099999999999
24/01/2015 05,9897.445,9686.307499999999
24/01/2015 06,10072.455,9995.4375
24/01/2015 07,10332.064999999999,10195.245
24/01/2015 08,11028.1625,10673.037499999999
24/01/2015 09,11622.2975,11236.7625
24/01/2015 10,11939.154999999999,11573.985
24/01/2015 11,12026.735,11786.002499999999
24/01/2015 12,11777.3525,11812.8675
24/01/2015 13,11533.6625,11345.68
24/01/2015 14,11283.762499999999,11109.227499999999
24/01/2015 15,11145.9975,11070.0475
24/01/2015 16,11085.5625,10962.4225
24/01/2015 17,11699.2025,11581.857500000002
24/01/2015 18,12133.705,11858.18
24/01/2015 19,11772.072500000002,11648.22
24/01/2015 20,11230.727499999999,11186.982500000002
24/01/2015 21,10729.3025,10524.6475
24/01/2015 22,10898.79,10843.220000000001
24/01/2015 23,11178.327500000001,10789.932499999999
25/01/2015 00,10618.6325,10404.0175
25/01/2015 01,10080.14,9952.34
25/01/2015 02,9739.335,9622.8725
25/01/2015 03,9519.872500000001,9213.0775
25/01/2015 04,9306.1875,9177.94
25/01/2015 05,9167.2875,8997.970000000001
25/01/2015 06,9308.755000000001,8993.2625
25/01/2015 07,9374.9225,9063.9325
25/01/2015 08,9812.2425,9640.35
25/01/2015 09,10354.435,10197.07
25/01/2015 10,10788.1,10603.91
25/01/2015 11,11159.16,10933.755
25/01/2015 12,11285.850000000002,11048.689999999999
25/01/2015 13,10957.8325,10770.83
25/01/2015 14,10623.425,10463.45
25/01/2015 15,10500.385,10387.5625
25/01/2015 16,10445.654999999999,10389.43
25/01/2015 17,11006.9325,11015.15
25/01/2015 18,11640.425,11358.175
25/01/2015 19,11506.92,11418.41
25/01/2015 20,11122.265000000001,11057.5925
25/01/2015 21,10570.369999999999,10591.1375
25/01/2015 22,10730.5675,10482.88
25/01/2015 23,10725.34,10718.6525
26/01/2015 00,10106.6475,10127.7125
26/01/2015 01,9773.175,9663.025000000001
26/01/2015 02,9378.275,9361.805
26/01/2015 03,9115.715,9071.97
26/01/2015 04,9233.645,8934.664999999999
26/01/2015 05,9775.914999999999,9483.3075
26/01/2015 06,10982.715,10782.964999999998
26/01/2015 07,12044.482499999998,11811.0525
26/01/2015 08,12456.0575,12351.3975
26/01/2015 09,12560.109999999999,12499.7025
26/01/2015 10,12653.8675,12522.4525
26/01/2015 11,12791.075,12601.75
26/01/2015 12,12538.735,12453.654999999999
26/01/2015 13,12538.697499999998,12488.16
26/01/2015 14,12390.675,12299.1825
26/01/2015 15,12302.3625,12189.0075
26/01/2015 16,12315.1675,12205.41
26/01/2015 17,12719.647500000001,12742.505
26/01/2015 18,13063.8475,12840.475
26/01/2015 19,12493.86,12464.845000000001
26/01/2015 20,11891.25,11806.119999999999
26/01/2015 21,11232.2475,11239.6775
26/01/2015 22,11414.667500000001,11386.520000000002
26/01/2015 23,11301.075,11323.3975
27/01/2015 00,10642.3525,10590.890000000001
27/01/2015 01,10185.3175,9942.98
27/01/2015 02,9863.074999999999,9576.002499999999
27/01/2015 03,9694.91,9495.0525
27/01/2015 04,9746.0825,9576.199999999999
27/01/2015 05,10069.8975,9984.77
27/01/2015 06,11236.8975,11163.525000000001
27/01/2015 07,12199.0475,12159.395
27/01/2015 08,12396.657500000001,12438.827500000001
27/01/2015 09,12383.625,12355.43
27/01/2015 10,12454.8625,12336.494999999999
27/01/2015 11,12574.5275,12445.365
27/01/2015 12,12378.1125,12182.825
27/01/2015 13,12376.9275,12154.725
27/01/2015 14,12257.505,12130.225
27/01/2015 15,12136.445,12065.567500000001
27/01/2015 16,12053.1675,12066.12
27/01/2015 17,12617.0075,12474.1625
27/01/2015 18,13102.7225,12667.4375
27/01/2015 19,12634.8825,12480.002499999999
27/01/2015 20,11946.6475,11883.1325
27/01/2015 21,11352.1,11230.505000000001
27/01/2015 22,11421.3375,11517.02
27/01/2015 23,11369.625,11296.492499999998
28/01/2015 00,10753.675,10679.539999999999
28/01/2015 01,10250.79,10305.2425
28/01/2015 02,9942.3225,9898.175
